户型,建筑面积,朝向,楼层,装修,建筑年代,电梯,产权性质,住宅类别,建筑结构,建筑类别,区域,单价,地铁,地铁距离,总价
3室2厅1卫,130.56,南北,低层,精装修,2021,有,商品房,普通住宅,平层,板楼,洪山,7276.0,5号线,445米,95.0
2室2厅1卫,79.09,南北,高层,精装修,2020,有,商品房,普通住宅,平层,板楼,洪山,11253.0,5号线,405米,89.0
3室2厅1卫,87.26,南北,低层,毛坯,2022,有,商品房,普通住宅,平层,板楼,洪山,6303.0,无,无,55.0
4室2厅3卫,303.12,南北,中层,豪华装修,2006,有,商品房,普通住宅,平层,板楼,武昌,26392.0,4号线,830米,800.0
6室2厅6卫,399.55,东南,高层,毛坯,2006,有,商品房,普通住宅,平层,板楼,江汉,20023.0,1号线,349米,800.0
3室1厅1卫,86.78,南,低层,精装修,2017,有,商品房,普通住宅,平层,板楼,洪山,11293.0,5号线,308米,98.0
2室2厅1卫,84.04,东南,中层,中装修,2021,有,商品房,普通住宅,平层,板楼,江夏,11304.0,无,无,95.0
2室2厅2卫,35.0,南北,低层,毛坯,2018,有,商品房,平层,平层,板楼,汉阳,11429.0,6号线,958米,40.0
3室2厅1卫,98.7,南,高层,毛坯,2006,有,商品房,普通住宅,平层,板楼,东西湖,6991.0,无,无,69.0
4室2厅2卫,140.0,南北,低层,精装修,2008,有,商品房,普通住宅,平层,板楼,硚口,21014.0,1号线,608米,294.2
3室2厅2卫,111.08,南北,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,洪山,16024.0,无,无,178.0
2室2厅1卫,101.07,南,中层,精装修,2019,有,商品房,普通住宅,平层,板楼,江汉,19590.0,7号线,938米,198.0
4室2厅1卫,137.21,南北,高层,毛坯,2016,有,商品房,普通住宅,平层,板楼,江岸,14212.0,8号线,831米,195.0
4室2厅2卫,180.0,南北,中层,豪华装修,2016,有,商品房,普通住宅,平层,板楼,江汉,22028.0,6号线,498米,396.5
3室2厅1卫,132.45,南北,中层,精装修,2014,有,商品房,普通住宅,平层,板楼,洪山,7777.0,5号线,302米,103.0
3室2厅2卫,110.0,南北,低层,毛坯,2021,有,商品房,普通住宅,平层,板楼,洪山,12355.0,无,无,135.9
3室2厅2卫,107.0,南北,高层,毛坯,2022,有,商品房,普通住宅,平层,板楼,洪山,12617.0,无,无,135.0
2室2厅1卫,80.27,南,中层,毛坯,2006,有,商品房,普通住宅,平层,板楼,洪山,14700.0,4号线,775米,118.0
2室2厅1卫,75.0,南北,高层,精装修,2018,有,商品房,普通住宅,平层,板楼,汉阳,15867.0,无,无,119.0
3室2厅2卫,112.52,南,中层,中装修,2018,有,商品房,普通住宅,平层,板楼,洪山,12442.0,5号线,217米,140.0
3室2厅1卫,126.32,南,中层,精装修,2022,有,商品房,普通住宅,平层,板楼,东湖高新区,12666.0,11号线,739米,160.0
3室2厅2卫,117.15,南北,中层,精装修,2022,有,商品房,普通住宅,平层,板楼,洪山,12804.0,无,无,150.0
4室2厅2卫,137.62,南北,中层,毛坯,2021,有,商品房,普通住宅,平层,板楼,东湖高新区,14169.0,11号线,606米,195.0
3室2厅2卫,124.0,南北,高层,简装修,2019,有,商品房,普通住宅,平层,板楼,硚口,20048.0,1号线,406米,248.6
3室2厅2卫,106.0,南北,中层,毛坯,2019,有,商品房,普通住宅,平层,板楼,汉阳,12000.0,6号线,1097米,127.2
2室2厅1卫,80.3,东南,中层,精装修,2019,有,商品房,普通住宅,平层,板楼,洪山,8593.0,5号线,445米,69.0
3室2厅1卫,98.19,南,中层,精装修,2017,有,商品房,普通住宅,平层,板楼,洪山,12629.0,5号线,584米,124.0
2室2厅1卫,92.27,南,中层,精装修,2006,有,经济适用房,经济适用房,平层,板楼,武昌,10296.0,5号线,560米,95.0
3室2厅1卫,128.28,南北,中层,中装修,2006,有,商品房,普通住宅,平层,板楼,汉阳,15357.0,无,无,197.0
3室2厅2卫,104.46,南,中层,精装修,2021,有,商品房,普通住宅,平层,板楼,东湖高新区,16274.0,11号线,606米,170.0
3室2厅1卫,133.45,南北,低层,精装修,2006,有,商品房,普通住宅,平层,板楼,武昌,19483.0,5号线,820米,260.0
4室2厅2卫,132.0,南北,低层,简装修,2019,有,商品房,普通住宅,平层,板楼,沌口,10606.0,3号线,1102米,140.0
3室2厅1卫,128.55,南北,低层,精装修,2006,有,商品房,普通住宅,平层,板楼,汉阳,15480.0,无,无,199.0
3室2厅2卫,113.37,南,高层,精装修,2017,有,商品房,普通住宅,平层,板楼,东湖高新区,15436.0,11号线,253米,175.0
3室2厅2卫,123.0,南北,低层,简装修,2021,有,商品房,普通住宅,平层,板楼,汉阳,11967.0,4号线,1086米,147.2
4室2厅2卫,136.1,南北,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,洪山,13960.0,4号线,163米,190.0
3室2厅2卫,105.71,南北,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,11352.0,2号线,589米,120.0
3室2厅2卫,114.28,南北,低层,简装修,2006,有,商品房,普通住宅,平层,板楼,武昌,13213.0,11号线,513米,151.0
2室2厅1卫,80.91,南,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,洪山,11494.0,7号线,597米,93.0
3室2厅2卫,108.4,南北,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,11531.0,11号线,932米,125.0
4室2厅3卫,183.26,南北,中层,精装修,2020,有,商品房,普通住宅,平层,板楼,东湖高新区,22918.0,无,无,420.0
3室2厅1卫,102.09,南,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,15477.0,无,无,158.0
4室2厅2卫,128.0,南北,低层,简装修,2023,有,商品房,普通住宅,平层,板楼,汉阳,14500.0,6号线,1097米,185.6
3室1厅1卫,87.44,南北,高层,中装修,2016,有,商品房,普通住宅,平层,板楼,洪山,7205.0,无,无,63.0
3室2厅2卫,122.42,南北,高层,精装修,2020,有,商品房,普通住宅,平层,板楼,洪山,23362.0,2号线,717米,286.0
5室3厅4卫,164.86,南北,中层,毛坯,2017,无,商品房,普通住宅,平层,板楼,东湖高新区,16802.0,11号线,732米,277.0
3室2厅2卫,132.53,南,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,洪山,16600.0,8号线,315米,220.0
2室2厅1卫,81.6,南,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,武昌,23284.0,无,无,190.0
3室2厅2卫,114.81,南北,低层,精装修,2006,有,商品房,普通住宅,平层,板楼,洪山,15678.0,无,无,180.0
4室2厅2卫,185.67,南,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,江汉,21544.0,2号线,719米,400.0
2室1厅1卫,75.32,东,低层,精装修,2006,有,商品房,普通住宅,平层,板楼,汉阳,12613.0,3号线,417米,95.0
4室2厅3卫,247.78,东南,高层,精装修,2015,有,商品房,普通住宅,平层,板楼,洪山,21794.0,4号线,1101米,540.0
3室2厅2卫,108.13,南,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,洪山,10173.0,无,无,110.0
3室2厅1卫,128.33,南,低层,精装修,2006,有,商品房,普通住宅,平层,板楼,汉阳,14572.0,无,无,187.0
3室2厅2卫,108.0,南北,高层,精装修,2021,有,商品房,普通住宅,平层,板楼,硚口,10185.0,无,无,110.0
4室2厅3卫,257.09,南北,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,武昌,25283.0,4号线,830米,650.0
1室1厅1卫,40.0,南,中层,简装修,2011,有,商品房,普通住宅,平层,板楼,汉阳,7500.0,4号线,76米,30.0
3室2厅2卫,112.0,南北,中层,毛坯,2019,有,商品房,普通住宅,平层,板楼,洪山,12500.0,7号线,864米,140.0
3室2厅2卫,142.0,南北,中层,精装修,2012,有,商品房,普通住宅,平层,板楼,江汉,21972.0,6号线,498米,312.0
2室2厅1卫,89.13,南,中层,毛坯,2006,有,商品房,普通住宅,平层,板楼,洪山,10659.0,8号线,717米,95.0
4室2厅2卫,184.0,南北,中层,精装修,2018,有,商品房,普通住宅,平层,板楼,汉阳,20109.0,6号线,755米,370.0
3室2厅1卫,92.78,南北,低层,精装修,2014,有,商品房,普通住宅,平层,板楼,洪山,13473.0,8号线,394米,125.0
3室2厅2卫,109.69,南,中层,精装修,2019,有,商品房,普通住宅,平层,板楼,东湖高新区,13493.0,无,无,148.0
3室2厅1卫,149.56,南,高层,简装修,2006,有,商品房,普通住宅,平层,板楼,武昌,15512.0,8号线,737米,232.0
4室2厅2卫,181.0,南北,中层,毛坯,2019,有,商品房,普通住宅,平层,板楼,武昌,17680.0,5号线,233米,320.0
3室2厅2卫,108.0,南,低层,简装修,2014,有,商品房,普通住宅,平层,板楼,硚口,21009.0,6号线,641米,226.9
3室2厅1卫,89.67,南,低层,精装修,2017,有,商品房,普通住宅,平层,板楼,洪山,12156.0,4号线,374米,109.0
3室2厅2卫,105.0,南北,低层,精装修,2021,有,商品房,普通住宅,平层,板楼,汉阳,10952.0,无,无,115.0
4室2厅2卫,171.63,南北,中层,精装修,2023,有,商品房,普通住宅,平层,板楼,武昌,33211.0,5号线,450米,570.0
3室2厅2卫,119.0,南北,中层,毛坯,2019,有,商品房,普通住宅,平层,板楼,汉阳,11950.0,6号线,1097米,142.2
4室2厅2卫,133.53,南北,低层,简装修,2018,有,商品房,普通住宅,平层,板楼,东湖高新区,11084.0,无,无,148.0
3室2厅1卫,154.38,南北,高层,简装修,2006,有,商品房,普通住宅,平层,板楼,武昌,23319.0,8号线,260米,360.0
3室2厅2卫,125.92,南北,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,洪山,17630.0,8号线,680米,222.0
3室2厅1卫,109.34,南,高层,中装修,2021,有,商品房,普通住宅,平层,板楼,洪山,11524.0,无,无,126.0
3室1厅1卫,95.34,南北,高层,精装修,2019,有,商品房,普通住宅,平层,板楼,武昌,14160.0,无,无,135.0
3室2厅1卫,99.0,南,低层,精装修,2021,有,商品房,普通住宅,平层,板楼,江夏,12121.0,无,无,120.0
2室2厅2卫,62.0,南,高层,简装修,2008,有,商品房,公寓,平层,板楼,汉阳,9694.0,4号线,76米,60.1
3室2厅1卫,89.94,南,低层,毛坯,2019,有,商品房,普通住宅,平层,板楼,东湖高新区,12230.0,2号线,867米,110.0
2室2厅1卫,90.27,南,低层,精装修,2017,有,商品房,普通住宅,平层,板楼,洪山,10302.0,5号线,640米,93.0
3室2厅2卫,133.18,南北,中层,毛坯,2017,有,商品房,普通住宅,平层,板楼,洪山,21550.0,无,无,287.0
3室2厅1卫,142.64,南北,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,武昌,23135.0,4号线,729米,330.0
3室2厅1卫,125.0,南北,中层,毛坯,2020,有,商品房,普通住宅,平层,板楼,青山,16720.0,5号线,606米,209.0
3室2厅2卫,117.15,南北,中层,精装修,2022,有,商品房,普通住宅,平层,板楼,洪山,13487.0,无,无,158.0
3室2厅2卫,107.0,南北,低层,毛坯,2022,有,商品房,普通住宅,平层,板楼,洪山,12673.0,无,无,135.6
3室2厅1卫,89.0,南,底层,毛坯,2021,有,商品房,普通住宅,平层,板楼,江夏,7865.0,无,无,70.0
3室2厅2卫,117.0,南,高层,毛坯,2021,有,商品房,普通住宅,平层,板楼,武昌,14530.0,无,无,170.0
3室2厅1卫,126.99,南北,高层,精装修,2020,有,商品房,普通住宅,平层,板楼,洪山,10473.0,无,无,133.0
3室2厅2卫,97.0,南,中层,毛坯,2021,有,商品房,普通住宅,平层,板楼,汉阳,16186.0,6号线,153米,157.0
2室2厅1卫,74.6,南,高层,精装修,2016,有,商品房,普通住宅,平层,板楼,洪山,12735.0,4号线,374米,95.0
3室2厅1卫,127.95,南北,低层,中装修,2006,有,商品房,普通住宅,平层,板楼,沌口,10160.0,无,无,130.0
3室2厅2卫,127.0,南北,高层,简装修,2010,有,商品房,普通住宅,平层,板楼,汉阳,11654.0,4号线,173米,148.0
3室2厅2卫,130.0,东北,中层,毛坯,2022,有,商品房,普通住宅,平层,板楼,武昌,20769.0,8号线,607米,270.0
4室2厅1卫,243.1,南北,低层,中装修,2006,有,商品房,普通住宅,平层,板楼,武昌,27972.0,4号线,639米,680.0
2室2厅1卫,36.0,南北,中层,毛坯,2018,有,商品房,普通住宅,平层,板楼,沌口,11389.0,3号线,379米,41.0
3室2厅2卫,52.0,南北,低层,毛坯,2019,有,商品房,平层,平层,板楼,汉阳,10000.0,6号线,958米,52.0
2室2厅1卫,78.98,南北,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,汉阳,13041.0,3号线,417米,103.0
2室2厅1卫,100.78,南北,中层,简装修,2006,有,商品房,普通住宅,平层,板楼,武昌,23715.0,8号线,379米,239.0
3室2厅2卫,108.04,南,高层,中装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,13421.0,11号线,721米,145.0
3室2厅1卫,116.05,南北,中层,精装修,2020,有,商品房,普通住宅,平层,板楼,洪山,11633.0,5号线,309米,135.0
3室2厅2卫,111.83,南北,高层,精装修,2021,有,商品房,普通住宅,平层,板楼,汉阳,22642.0,4号线,217米,253.2
4室2厅2卫,138.33,南北,中层,毛坯,2021,有,商品房,普通住宅,平层,板楼,东湖高新区,17711.0,11号线,606米,245.0
2室1厅1卫,74.11,南北,高层,精装修,2012,有,商品房,普通住宅,平层,板楼,武昌,14708.0,5号线,874米,109.0
3室2厅2卫,122.42,南北,中层,精装修,2020,有,商品房,普通住宅,平层,板楼,洪山,24914.0,2号线,717米,305.0
3室2厅2卫,129.0,南北,中层,简装修,2022,有,商品房,普通住宅,平层,板楼,江汉,14729.0,2号线,567米,190.0
4室2厅2卫,158.46,南北,高层,精装修,2020,有,商品房,普通住宅,平层,板楼,东湖高新区,18238.0,2号线,633米,289.0
4室2厅3卫,176.13,南北,低层,毛坯,2018,有,商品房,普通住宅,平层,板楼,武昌,17317.0,5号线,646米,305.0
3室2厅1卫,87.16,南,高层,精装修,2019,有,商品房,普通住宅,平层,板楼,东湖高新区,13194.0,11号线,954米,115.0
2室2厅1卫,87.34,东南,低层,精装修,2015,有,商品房,普通住宅,平层,板楼,洪山,16602.0,无,无,145.0
3室2厅2卫,106.22,南北,高层,毛坯,2023,有,商品房,普通住宅,平层,板楼,汉阳,11580.0,4号线,173米,123.0
3室2厅1卫,134.99,南北,高层,简装修,2006,有,商品房,普通住宅,平层,板楼,武昌,19261.0,无,无,260.0
3室2厅2卫,121.73,南,高层,毛坯,2006,有,商品房,普通住宅,平层,板楼,青山,14787.0,4号线,393米,180.0
2室2厅1卫,80.25,南北,低层,简装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,13084.0,11号线,237米,105.0
5室2厅1卫,331.29,南北,中层,精装修,2018,有,商品房,普通住宅,平层,板楼,东湖高新区,18715.0,无,无,620.0
4室2厅2卫,163.0,南,低层,简装修,2006,有,商品房,普通住宅,平层,板楼,汉阳,13528.0,6号线,866米,220.5
3室2厅2卫,105.55,南北,低层,毛坯,2023,有,商品房,普通住宅,平层,板楼,洪山,12809.0,无,无,135.2
1室1厅1卫,42.0,南,中层,毛坯,2020,有,商品房,普通住宅,平层,板楼,洪山,7143.0,5号线,489米,30.0
5室2厅1卫,181.77,南北,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,江岸,22446.0,8号线,831米,408.0
4室2厅3卫,208.0,东南,中层,毛坯,2006,有,商品房,普通住宅,平层,板楼,江汉,19231.0,2号线,719米,400.0
4室2厅2卫,171.33,南北,中层,精装修,2016,有,商品房,普通住宅,平层,板楼,武昌,32685.0,4号线,220米,560.0
3室2厅2卫,125.0,南北,低层,简装修,2020,有,商品房,普通住宅,平层,板楼,青山,15456.0,5号线,606米,193.2
4室2厅2卫,141.72,南北,低层,精装修,2018,有,商品房,普通住宅,平层,板楼,江汉,25755.0,6号线,733米,365.0
4室2厅3卫,224.0,南北,底层,简装修,2006,有,商品房,普通住宅,平层,板楼,武昌,23884.0,4号线,635米,535.0
3室2厅1卫,118.15,南,低层,精装修,2006,有,商品房,普通住宅,平层,板楼,汉阳,11849.0,3号线,417米,140.0
3室2厅1卫,100.87,南北,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,洪山,14970.0,5号线,309米,151.0
4室2厅3卫,210.72,南,低层,毛坯,2019,有,商品房,普通住宅,平层,板楼,江汉,33219.0,2号线,658米,700.0
3室2厅1卫,121.56,东,高层,精装修,2014,有,商品房,普通住宅,平层,板楼,洪山,6663.0,5号线,302米,81.0
4室2厅2卫,158.32,南北,低层,精装修,2014,有,商品房,普通住宅,平层,板楼,洪山,26844.0,8号线,385米,425.0
4室2厅3卫,195.77,南北,低层,中装修,2006,有,商品房,普通住宅,平层,板楼,青山,20381.0,5号线,1014米,399.0
4室2厅2卫,138.24,南北,中层,毛坯,2020,有,商品房,普通住宅,平层,板楼,东湖高新区,13021.0,11号线,739米,180.0
3室2厅1卫,118.0,南北,低层,精装修,2006,有,商品房,普通住宅,平层,板楼,汉阳,11695.0,3号线,417米,138.0
3室2厅2卫,115.08,南北,高层,毛坯,2024,有,商品房,普通住宅,平层,板楼,江夏,9993.0,无,无,115.0
3室2厅2卫,129.0,南,中层,毛坯,2021,有,商品房,普通住宅,平层,板楼,东湖高新区,20853.0,无,无,269.0
4室2厅2卫,137.0,南北,低层,简装修,2017,有,商品房,普通住宅,平层,板楼,硚口,21117.0,1号线,406米,289.3
2室2厅1卫,87.05,南,高层,精装修,2015,有,商品房,普通住宅,平层,板楼,武昌,16312.0,5号线,548米,142.0
3室2厅2卫,116.1,南北,中层,毛坯,2006,有,商品房,普通住宅,平层,板楼,青山,18088.0,5号线,606米,210.0
3室2厅2卫,107.25,南北,中层,精装修,2020,有,商品房,普通住宅,平层,板楼,洪山,11935.0,无,无,128.0
4室2厅1卫,114.33,南北,高层,精装修,2019,有,商品房,普通住宅,平层,板楼,洪山,10059.0,5号线,684米,115.0
4室2厅1卫,128.86,南北,低层,中装修,2017,有,商品房,普通住宅,平层,板楼,洪山,12572.0,4号线,775米,162.0
3室2厅3卫,183.0,南北,底层,简装修,2021,有,商品房,普通住宅,平层,板楼,武昌,20765.0,4号线,635米,380.0
4室2厅2卫,187.32,南,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,武昌,20019.0,无,无,375.0
3室2厅2卫,122.0,南北,低层,精装修,2019,有,商品房,普通住宅,平层,板楼,汉阳,11885.0,4号线,1086米,145.0
4室2厅2卫,143.0,南北,底层,简装修,2022,有,商品房,普通住宅,平层,板楼,青山,13636.0,5号线,606米,195.0
3室2厅1卫,139.15,南,低层,简装修,2006,有,商品房,普通住宅,平层,板楼,武昌,25153.0,8号线,265米,350.0
4室2厅2卫,148.02,南北,低层,精装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,17565.0,无,无,260.0
3室2厅2卫,132.0,南北,低层,精装修,2019,有,商品房,普通住宅,平层,板楼,汉阳,12697.0,6号线,345米,167.6
3室2厅2卫,112.47,南北,中层,简装修,2020,有,商品房,普通住宅,平层,板楼,青山,15293.0,5号线,560米,172.0
3室2厅2卫,116.0,南北,低层,毛坯,2023,有,商品房,普通住宅,平层,板楼,汉阳,8207.0,4号线,297米,95.2
3室2厅1卫,120.62,东西,高层,毛坯,2020,有,商品房,普通住宅,平层,板楼,洪山,10114.0,5号线,405米,122.0
4室2厅2卫,164.0,南,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,江汉,19512.0,2号线,719米,320.0
3室2厅2卫,114.07,南,中层,毛坯,2022,有,商品房,普通住宅,平层,板楼,洪山,6224.0,无,无,71.0
3室2厅2卫,136.01,南,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,江岸,51467.0,1号线,561米,700.0
3室2厅2卫,138.51,南北,中层,精装修,2016,有,商品房,普通住宅,平层,板楼,东湖高新区,14295.0,无,无,198.0
3室2厅2卫,113.0,南北,低层,简装修,2006,有,商品房,普通住宅,平层,板楼,硚口,20991.0,6号线,641米,237.2
3室2厅2卫,98.0,南北,中层,毛坯,2021,有,商品房,普通住宅,平层,板楼,江夏,9694.0,7号线,274米,95.0
2室1厅1卫,105.54,南,高层,精装修,2016,有,商品房,普通住宅,平层,板楼,东湖高新区,23593.0,2号线,349米,249.0
3室2厅2卫,122.0,南北,中层,毛坯,2023,有,商品房,普通住宅,平层,板楼,汉阳,12295.0,无,无,150.0
3室2厅2卫,126.41,南北,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,21755.0,无,无,275.0
3室2厅2卫,129.0,南,中层,毛坯,2021,有,商品房,普通住宅,平层,板楼,东湖高新区,18450.0,无,无,238.0
2室2厅1卫,95.54,南北,中层,毛坯,2020,有,商品房,普通住宅,平层,板楼,沌口,10362.0,无,无,99.0
3室2厅2卫,117.61,南,中层,简装修,2006,有,商品房,普通住宅,平层,板楼,武昌,17260.0,7号线,403米,203.0
3室2厅2卫,98.99,南北,中层,精装修,2020,有,商品房,普通住宅,平层,板楼,黄陂,8587.0,7号线,680米,85.0
2室2厅1卫,49.0,南北,中层,简装修,2019,有,商品房,普通住宅,平层,板楼,汉阳,7143.0,4号线,76米,35.0
3室2厅1卫,128.51,东南,高层,中装修,2024,有,商品房,普通住宅,平层,板楼,江岸,22566.0,1号线,507米,290.0
3室2厅1卫,134.16,南,低层,中装修,2006,有,商品房,普通住宅,平层,板楼,洪山,30411.0,无,无,408.0
3室2厅1卫,96.86,南,高层,毛坯,2006,有,商品房,普通住宅,平层,板楼,洪山,11357.0,5号线,584米,110.0
2室2厅1卫,80.55,南,高层,简装修,2018,有,商品房,普通住宅,平层,板楼,洪山,14898.0,4号线,775米,120.0
3室2厅1卫,124.42,南,中层,简装修,2006,有,商品房,普通住宅,平层,板楼,江岸,12779.0,1号线,515米,159.0
2室1厅1卫,78.83,南,高层,精装修,2015,有,商品房,普通住宅,平层,板楼,青山,12939.0,5号线,659米,102.0
3室2厅2卫,117.0,南北,低层,毛坯,2019,有,商品房,普通住宅,平层,板楼,汉阳,12410.0,3号线,776米,145.2
3室2厅2卫,108.0,南北,低层,简装修,2017,有,商品房,普通住宅,平层,板楼,汉阳,14861.0,无,无,160.5
3室2厅2卫,114.67,南北,中层,精装修,2021,有,商品房,普通住宅,平层,板楼,武昌,17441.0,11号线,991米,200.0
3室2厅2卫,103.68,南,高层,精装修,2020,有,商品房,普通住宅,平层,板楼,武昌,18229.0,无,无,189.0
3室2厅1卫,89.44,南北,高层,精装修,2017,有,商品房,普通住宅,平层,板楼,洪山,10286.0,5号线,640米,92.0
3室2厅2卫,132.0,南北,中层,简装修,2016,有,商品房,普通住宅,平层,板楼,沌口,10470.0,3号线,1102米,138.2
4室2厅2卫,142.0,南北,底层,简装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,10563.0,19号线,1102米,150.0
3室2厅2卫,168.39,南北,低层,简装修,2021,有,商品房,普通住宅,平层,板楼,武昌,28505.0,4号线,459米,480.0
4室2厅3卫,198.0,南北,低层,精装修,2021,有,商品房,普通住宅,平层,板楼,武昌,25758.0,5号线,381米,510.0
3室2厅2卫,99.0,南北,低层,毛坯,2019,有,商品房,普通住宅,平层,板楼,汉阳,12646.0,6号线,1097米,125.2
3室2厅2卫,123.2,南北,中层,精装修,2012,有,商品房,普通住宅,平层,板楼,江汉,30049.0,3号线,1057米,370.2
3室2厅2卫,132.0,南北,低层,精装修,2019,有,商品房,普通住宅,平层,板楼,汉阳,10000.0,6号线,345米,132.0
2室2厅1卫,75.0,南北,中层,精装修,2018,有,商品房,普通住宅,平层,板楼,汉阳,16133.0,无,无,121.0
3室2厅1卫,93.38,南,低层,毛坯,2016,有,商品房,普通住宅,平层,板楼,武昌,17027.0,5号线,548米,159.0
4室2厅2卫,128.0,南北,底层,简装修,2025,有,商品房,普通住宅,平层,板楼,硚口,10547.0,1号线,719米,135.0
3室2厅2卫,132.54,南北,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,武昌,28671.0,5号线,381米,380.0
4室2厅2卫,159.72,南北,低层,简装修,2023,有,商品房,普通住宅,平层,板楼,汉阳,11896.0,6号线,1097米,190.0
3室2厅1卫,119.5,南北,中层,中装修,2006,有,商品房,普通住宅,平层,板楼,洪山,18410.0,8号线,524米,220.0
3室2厅2卫,117.0,南北,中层,毛坯,2019,有,商品房,普通住宅,平层,板楼,汉阳,12496.0,3号线,776米,146.2
4室2厅2卫,136.0,南北,低层,精装修,2021,有,商品房,普通住宅,平层,板楼,汉阳,12868.0,6号线,866米,175.0
3室2厅2卫,103.78,东南,中层,毛坯,2020,有,商品房,普通住宅,平层,板楼,武昌,16863.0,无,无,175.0
3室2厅2卫,111.08,南北,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,洪山,15484.0,无,无,172.0
3室1厅1卫,95.91,南北,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,洪山,11469.0,8号线,981米,110.0
4室2厅2卫,140.0,南北,中层,精装修,2019,有,商品房,普通住宅,平层,板楼,汉阳,12500.0,6号线,345米,175.0
4室2厅1卫,226.08,东南,低层,精装修,2006,有,商品房,普通住宅,平层,板楼,武昌,18799.0,无,无,425.0
4室2厅1卫,139.59,南,中层,简装修,2017,有,商品房,普通住宅,平层,板楼,洪山,18268.0,4号线,775米,255.0
4室2厅2卫,142.0,南北,中层,毛坯,2000,有,商品房,普通住宅,平层,板楼,硚口,9577.0,无,无,136.0
2室2厅1卫,85.71,南,中层,精装修,2017,有,商品房,普通住宅,平层,板楼,青山,15167.0,5号线,828米,130.0
3室1厅1卫,90.98,南,高层,毛坯,2019,有,商品房,普通住宅,平层,板楼,洪山,8024.0,5号线,304米,73.0
3室2厅2卫,119.0,南北,低层,简装修,2024,有,商品房,普通住宅,平层,板楼,硚口,29429.0,2号线,609米,350.2
3室2厅1卫,93.51,南,中层,毛坯,2017,有,商品房,普通住宅,平层,板楼,洪山,11657.0,4号线,374米,109.0
3室2厅2卫,127.0,南北,中层,精装修,2021,有,商品房,普通住宅,平层,板楼,汉阳,11890.0,4号线,1086米,151.0
3室2厅1卫,128.63,南北,高层,精装修,2016,有,商品房,普通住宅,平层,板楼,东湖高新区,18580.0,2号线,465米,239.0
2室1厅1卫,67.86,南,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,洪山,11789.0,8号线,394米,80.0
3室2厅2卫,139.81,南北,低层,精装修,2020,有,商品房,普通住宅,平层,板楼,东湖高新区,14877.0,无,无,208.0
4室2厅2卫,138.24,南北,低层,精装修,2019,有,商品房,普通住宅,平层,板楼,东湖高新区,13744.0,11号线,954米,190.0
4室2厅3卫,140.0,南北,低层,简装修,2012,有,商品房,普通住宅,平层,板楼,沌口,17000.0,3号线,1102米,238.0
3室2厅2卫,128.0,南北,中层,精装修,2021,有,商品房,普通住宅,平层,板楼,江岸,14063.0,1号线,574米,180.0
4室2厅2卫,128.0,南北,底层,简装修,2025,有,商品房,普通住宅,平层,板楼,硚口,10938.0,1号线,719米,140.0
4室2厅1卫,133.98,南北,高层,精装修,2021,有,商品房,普通住宅,平层,板楼,洪山,9703.0,无,无,130.0
2室2厅1卫,75.46,南,中层,精装修,2017,有,商品房,普通住宅,平层,板楼,东湖高新区,13252.0,11号线,253米,100.0
4室2厅2卫,122.29,南,中层,精装修,2018,有,商品房,普通住宅,平层,板楼,东湖高新区,12184.0,2号线,706米,149.0
4室2厅1卫,140.03,南,低层,精装修,2006,有,商品房,普通住宅,平层,板楼,汉阳,14568.0,3号线,776米,204.0
2室2厅1卫,95.91,南,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,17204.0,2号线,750米,165.0
2室2厅1卫,72.78,南,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,17862.0,11号线,906米,130.0
3室2厅1卫,89.4,南北,高层,精装修,2017,有,商品房,普通住宅,平层,板楼,洪山,10962.0,5号线,537米,98.0
