户型,建筑面积,朝向,楼层,装修,建筑年代,电梯,产权性质,住宅类别,建筑结构,建筑类别,区域,单价,地铁,地铁距离,总价
3室2厅2卫,98平米,南北,中层,精装修,2022年,有,个人产权,个人产权,平层,板楼,江夏,13367元/平米,7号线,716米,131.0
3室2厅2卫,127平米,南,中层,毛坯,2023年,有,商品房,普通住宅,平层,板楼,汉阳,11260元/平米,4号线,173米,143.0
4室2厅2卫,138平米,南北,高层,精装修,2023年,有,个人产权,个人产权,平层,板楼,江汉,28261元/平米,3号线,796米,390.0
3室2厅2卫,95.14平米,南,低层,毛坯,2019年,有,个人产权,个人产权,平层,板楼,蔡甸,7147元/平米,4号线,290米,68.0
3室2厅3卫,183平米,南北,中层,简装修,2006年,有,商品房,普通住宅,平层,板楼,武昌,33880元/平米,4号线,635米,620.0
3室2厅2卫,115平米,南北,中层,毛坯,2019年,有,商品房,普通住宅,平层,板楼,洪山,8696元/平米,5号线,448米,100.0
2室2厅1卫,93平米,南北,高层,精装修,2007年,有,个人产权,个人产权,平层,板楼,东湖高新区,15054元/平米,2号线,404米,140.0
3室2厅1卫,89平米,南,底层,毛坯,2006年,有,商品房,普通住宅,平层,板楼,汉阳,7213元/平米,4号线,297米,64.2
4室2厅3卫,270平米,南北,低层,精装修,2021年,有,个人产权,个人产权,平层,板楼,武昌,24000元/平米,4号线,616米,648.0
2室1厅1卫,88.76平米,东南,低层,精装修,2006年,有,商品房,普通住宅,平层,板楼,武昌,11492元/平米,无,无,102.0
4室2厅2卫,142平米,南北,低层,毛坯,2021年,有,商品房,普通住宅,平层,板楼,沌口,10070元/平米,无,无,143.0
5室2厅3卫,236平米,南北,低层,简装修,2016年,有,个人产权,个人产权,平层,板楼,东湖高新区,18220元/平米,2号线,349米,430.0
2室1厅1卫,87.52平米,南,中层,中装修,2014年,有,商品房,普通住宅,平层,板楼,洪山,10398元/平米,5号线,684米,91.0
3室2厅2卫,137.23平米,南北,高层,简装修,2020年,有,商品房,普通住宅,平层,板楼,汉阳,12432元/平米,6号线,866米,170.6
2室2厅1卫,100.59平米,南,中层,毛坯,2018年,有,商品房,普通住宅,平层,板楼,武昌,21871元/平米,4号线,729米,220.0
4室2厅2卫,136平米,南北,低层,毛坯,2018年,无,商品房,普通住宅,平层,板楼,东湖高新区,13603元/平米,无,无,185.0
4室2厅1卫,151.57平米,南北,高层,中装修,2006年,有,商品房,普通住宅,平层,板楼,武昌,28370元/平米,2号线,403米,430.0
3室2厅1卫,103平米,南,底层,毛坯,2006年,有,商品房,普通住宅,平层,板楼,硚口,17282元/平米,3号线,548米,178.0
3室2厅2卫,122平米,南北,低层,精装修,,有,商品房,普通住宅,平层,板楼,汉阳,13934元/平米,无,无,170.0
3室2厅2卫,128平米,南北,中层,毛坯,2016年,有,商品房,普通住宅,平层,板楼,武昌,14453元/平米,无,无,185.0
4室2厅2卫,139平米,南北,中层,毛坯,2021年,有,个人产权,个人产权,平层,板楼,洪山,14820元/平米,4号线,163米,206.0
3室2厅2卫,122平米,南,中层,简装修,2022年,有,商品房,普通住宅,平层,板楼,硚口,18951元/平米,1号线,406米,231.2
3室2厅1卫,135.65平米,南,底层,精装修,2006年,有,商品房,普通住宅,平层,板楼,武昌,26539元/平米,4号线,729米,360.0
2室2厅1卫,56平米,南北,中层,毛坯,2018年,有,商品房,普通住宅,平层,板楼,汉阳,12143元/平米,无,无,68.0
3室2厅1卫,175.52平米,南北,低层,精装修,2006年,有,商品房,普通住宅,平层,板楼,武昌,25011元/平米,4号线,579米,439.0
3室2厅1卫,128.33平米,南,低层,精装修,2006年,有,商品房,普通住宅,平层,板楼,汉阳,14572元/平米,无,无,187.0
2室1厅1卫,87.52平米,南,中层,中装修,2014年,有,商品房,普通住宅,平层,板楼,洪山,10398元/平米,5号线,684米,91.0
3室2厅1卫,125.53平米,南北,低层,精装修,2006年,有,商品房,普通住宅,平层,板楼,洪山,11551元/平米,4号线,1185米,145.0
2室2厅1卫,67平米,南北,中层,简装修,2021年,有,商品房,普通住宅,平层,板楼,江夏,8209元/平米,无,无,55.0
3室2厅1卫,96平米,南,高层,精装修,2021年,有,个人产权,个人产权,平层,板楼,青山,14063元/平米,5号线,883米,135.0
3室2厅2卫,135.89平米,南北,低层,精装修,2015年,有,商品房,普通住宅,平层,板楼,东湖高新区,12952元/平米,无,无,176.0
3室2厅1卫,128.08平米,南北,中层,毛坯,2023年,有,商品房,普通住宅,平层,板楼,东湖高新区,15693元/平米,11号线,1108米,201.0
3室2厅1卫,88.86平米,南北,中层,精装修,2016年,有,商品房,普通住宅,平层,板楼,洪山,12266元/平米,4号线,374米,109.0
3室2厅1卫,99平米,南北,低层,简装修,2022年,有,商品房,普通住宅,平层,板楼,青山,13838元/平米,5号线,606米,137.0
3室2厅2卫,84平米,南,中层,毛坯,2021年,有,个人产权,个人产权,平层,板楼,洪山,18810元/平米,2号线,594米,158.0
2室2厅1卫,86.52平米,南,高层,精装修,2006年,有,商品房,普通住宅,平层,板楼,武昌,13061元/平米,5号线,329米,113.0
4室3厅4卫,184平米,南,顶层,毛坯,2021年,有,个人产权,个人产权,平层,板楼,东湖高新区,14674元/平米,无,无,270.0
4室2厅2卫,140平米,南北,中层,精装修,2021年,有,个人产权,个人产权,平层,板楼,青山,12714元/平米,4号线,393米,178.0
3室2厅2卫,115.27平米,南,高层,毛坯,2021年,有,个人产权,个人产权,平层,板楼,东湖高新区,18045元/平米,2号线,633米,208.0
3室2厅2卫,114.74平米,南北,中层,精装修,2020年,有,商品房,普通住宅,平层,板楼,洪山,11156元/平米,5号线,405米,128.0
5室2厅3卫,311.25平米,南北,高层,精装修,2006年,有,商品房,普通住宅,平层,板楼,武昌,42410元/平米,5号线,154米,1320.0
3室2厅2卫,126平米,南北,低层,简装修,,有,商品房,普通住宅,平层,板楼,江岸,15016元/平米,6号线,317米,189.2
2室2厅1卫,85.71平米,南,中层,精装修,2017年,有,商品房,普通住宅,平层,板楼,青山,14351元/平米,5号线,828米,123.0
3室2厅2卫,116平米,南北,低层,简装修,,有,商品房,普通住宅,平层,板楼,沌口,10345元/平米,3号线,1102米,120.0
3室2厅1卫,109.36平米,南北,低层,精装修,2023年,有,个人产权,个人产权,平层,板楼,东湖高新区,15179元/平米,无,无,166.0
2室2厅1卫,89.07平米,南,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,武昌,17402元/平米,5号线,256米,155.0
3室2厅2卫,117平米,南,低层,简装修,2025年,有,商品房,普通住宅,平层,板楼,汉阳,14974元/平米,6号线,153米,175.2
3室2厅2卫,130平米,东北,底层,简装修,2025年,有,商品房,普通住宅,平层,板楼,武昌,21538元/平米,8号线,607米,280.0
3室2厅1卫,89.05平米,南,低层,精装修,2006年,有,商品房,普通住宅,平层,板楼,东湖高新区,11230元/平米,11号线,932米,100.0
2室2厅1卫,82.27平米,南,高层,毛坯,2019年,有,商品房,普通住宅,平层,板楼,洪山,8507元/平米,5号线,304米,69.99
2室2厅2卫,62平米,南,高层,简装修,,有,商品房,公寓,平层,板楼,汉阳,9694元/平米,4号线,76米,60.1
3室2厅1卫,98.36平米,南北,低层,精装修,2020年,有,商品房,普通住宅,平层,板楼,洪山,10675元/平米,5号线,217米,105.0
4室2厅3卫,189.17平米,南,中层,精装修,2020年,有,商品房,普通住宅,平层,板楼,武昌,26960元/平米,4号线,639米,510.0
3室2厅2卫,125平米,南北,低层,精装修,2023年,有,商品房,普通住宅,平层,板楼,汉阳,12000元/平米,4号线,856米,150.0
3室2厅2卫,109.51平米,南北,高层,中装修,2021年,有,商品房,普通住宅,平层,板楼,洪山,12775元/平米,无,无,139.9
4室2厅2卫,126平米,南,中层,毛坯,2021年,有,商品房,普通住宅,平层,板楼,汉阳,16508元/平米,6号线,153米,208.0
3室2厅3卫,183平米,南北,底层,简装修,2021年,有,商品房,普通住宅,平层,板楼,武昌,20765元/平米,4号线,635米,380.0
3室2厅1卫,115.86平米,南,低层,精装修,2020年,有,商品房,普通住宅,平层,板楼,汉阳,17090元/平米,4号线,614米,198.0
2室2厅1卫,81.01平米,南北,中层,精装修,2021年,有,商品房,普通住宅,平层,板楼,洪山,8024元/平米,5号线,445米,65.0
4室2厅2卫,140.49平米,东,高层,简装修,2006年,有,个人产权,个人产权,平层,板楼,东湖高新区,11033元/平米,2号线,961米,155.0
3室2厅2卫,115平米,南,底层,简装修,2023年,有,商品房,普通住宅,平层,板楼,江岸,7826元/平米,21号线,453米,90.0
3室2厅1卫,109.81平米,南北,中层,精装修,2015年,有,商品房,普通住宅,平层,板楼,洪山,10199元/平米,5号线,598米,112.0
3室2厅2卫,112.15平米,南北,低层,精装修,2022年,有,商品房,普通住宅,平层,板楼,汉阳,17833元/平米,1号线,710米,200.0
3室2厅1卫,98平米,南北,中层,毛坯,2019年,有,个人产权,个人产权,平层,板楼,东西湖,5918元/平米,无,无,58.0
3室2厅1卫,113.4平米,南北,中层,精装修,2016年,有,商品房,普通住宅,平层,板楼,洪山,9965元/平米,无,无,113.0
3室2厅2卫,128.59平米,南北,高层,中装修,2006年,有,商品房,普通住宅,平层,板楼,东湖高新区,14776元/平米,11号线,951米,190.0
3室2厅2卫,108平米,南北,底层,毛坯,2023年,有,个人产权,个人产权,平层,板楼,东湖高新区,14630元/平米,无,无,158.0
3室2厅1卫,60.81平米,东南,高层,中装修,2017年,有,商品房,普通住宅,平层,板楼,洪山,8058元/平米,无,无,49.0
4室2厅3卫,181平米,南北,高层,豪华装修,2024年,有,个人产权,个人产权,平层,板楼,江岸,38674元/平米,1号线,586米,700.0
2室2厅1卫,74.6平米,南,高层,精装修,2016年,有,商品房,普通住宅,平层,板楼,洪山,12735元/平米,4号线,374米,95.0
6室2厅4卫,142.59平米,南北,低层,精装修,2021年,有,个人产权,个人产权,平层,板楼,东湖高新区,11221元/平米,无,无,160.0
3室2厅2卫,120.11平米,南,高层,毛坯,2020年,有,商品房,普通住宅,平层,板楼,经济开发区,10157元/平米,6号线,652米,122.0
3室2厅1卫,148.41平米,南北,中层,精装修,2021年,有,商品房,普通住宅,平层,板楼,东湖高新区,30456元/平米,2号线,633米,452.0
3室2厅2卫,119.8平米,南,高层,精装修,2015年,有,个人产权,个人产权,平层,板楼,洪山,20033元/平米,无,无,240.0
3室1厅2卫,95平米,南,中层,精装修,2022年,有,个人产权,个人产权,平层,板楼,东湖高新区,14211元/平米,2号线,1054米,135.0
3室2厅1卫,116.67平米,南北,中层,中装修,2015年,有,商品房,普通住宅,平层,板楼,洪山,10457元/平米,5号线,684米,122.0
3室2厅2卫,132.38平米,南北,低层,简装修,2006年,有,商品房,普通住宅,平层,板楼,东湖高新区,14126元/平米,2号线,465米,187.0
3室2厅2卫,106平米,南北,低层,毛坯,2021年,有,个人产权,个人产权,平层,板楼,汉阳,11887元/平米,4号线,173米,126.0
3室2厅1卫,93.46平米,南,中层,精装修,2017年,有,商品房,普通住宅,平层,板楼,洪山,8667元/平米,无,无,81.0
3室2厅1卫,104.73平米,南,高层,简装修,2006年,有,商品房,普通住宅,平层,板楼,汉阳,9739元/平米,6号线,1097米,102.0
3室2厅1卫,89平米,南,底层,毛坯,2006年,有,商品房,普通住宅,平层,板楼,汉阳,7213元/平米,4号线,297米,64.2
4室2厅3卫,138平米,南北,中层,精装修,2019年,有,个人产权,个人产权,平层,板楼,江汉,26812元/平米,3号线,796米,370.0
3室2厅2卫,101.78平米,南,底层,精装修,2019年,有,商品房,普通住宅,平层,板楼,洪山,7880元/平米,无,无,80.2
4室2厅2卫,158.44平米,南北,中层,中装修,2018年,有,商品房,普通住宅,平层,板楼,东湖高新区,13885元/平米,无,无,220.0
3室2厅2卫,106.41平米,南,高层,精装修,2017年,有,商品房,普通住宅,平层,板楼,东湖高新区,14566元/平米,11号线,253米,155.0
3室2厅1卫,98平米,南北,低层,精装修,2023年,有,商品房,普通住宅,平层,板楼,洪山,15204元/平米,7号线,864米,149.0
3室2厅1卫,93平米,南,低层,精装修,2023年,有,商品房,普通住宅,平层,板楼,洪山,13871元/平米,4号线,755米,129.0
3室2厅2卫,108.72平米,南北,高层,精装修,2006年,有,商品房,普通住宅,平层,板楼,洪山,13337元/平米,8号线,929米,145.0
3室2厅1卫,88.58平米,南,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,洪山,16369元/平米,4号线,374米,145.0
3室2厅3卫,179.47平米,南北,低层,毛坯,2006年,无,商品房,普通住宅,平层,板楼,东湖高新区,16103元/平米,11号线,732米,289.0
4室2厅3卫,189.17平米,南,中层,精装修,2020年,有,商品房,普通住宅,平层,板楼,武昌,26960元/平米,4号线,639米,510.0
3室1厅1卫,97.23平米,南北,中层,精装修,2019年,有,商品房,普通住宅,平层,板楼,洪山,11108元/平米,5号线,405米,108.0
5室2厅3卫,236平米,南北,低层,简装修,2016年,有,个人产权,个人产权,平层,板楼,东湖高新区,18220元/平米,2号线,349米,430.0
3室2厅2卫,109.62平米,南,中层,精装修,2018年,有,商品房,普通住宅,平层,板楼,武昌,31746元/平米,4号线,545米,348.0
3室2厅1卫,93平米,南,中层,精装修,2021年,有,商品房,普通住宅,平层,板楼,洪山,13978元/平米,4号线,755米,130.0
3室2厅2卫,84.02平米,东南,低层,精装修,2012年,有,商品房,普通住宅,平层,板楼,武昌,18448元/平米,5号线,874米,155.0
2室2厅1卫,95.6平米,东南,高层,精装修,2006年,有,商品房,普通住宅,平层,板楼,江汉,17050元/平米,1号线,288米,163.0
4室2厅3卫,185.95平米,南,低层,精装修,2025年,有,个人产权,个人产权,平层,板楼,武昌,20436元/平米,11号线,742米,380.0
3室2厅1卫,119.21平米,南北,中层,毛坯,2020年,有,商品房,普通住宅,平层,板楼,洪山,18119元/平米,无,无,216.0
2室2厅1卫,86.85平米,南,高层,精装修,2006年,有,商品房,普通住宅,平层,板楼,武昌,17271元/平米,8号线,783米,150.0
3室2厅1卫,92.12平米,西南,中层,毛坯,2017年,有,个人产权,个人产权,平层,板楼,江岸,11398元/平米,1号线,644米,105.0
4室2厅2卫,139.21平米,南北,中层,毛坯,2020年,有,商品房,普通住宅,平层,板楼,东湖高新区,16881元/平米,11号线,606米,235.0
4室2厅3卫,198平米,南北,低层,精装修,2021年,有,商品房,普通住宅,平层,板楼,武昌,25758元/平米,5号线,381米,510.0
4室2厅2卫,159.72平米,南北,低层,简装修,2023年,有,商品房,普通住宅,平层,板楼,汉阳,11865元/平米,6号线,1097米,189.5
3室2厅2卫,104平米,南北,中层,毛坯,2021年,有,商品房,普通住宅,平层,板楼,汉阳,12115元/平米,4号线,856米,126.0
3室2厅2卫,102平米,南北,中层,毛坯,2024年,有,商品房,普通住宅,平层,板楼,经济开发区,7843元/平米,16号线,892米,80.0
2室1厅1卫,86.83平米,东南,低层,中装修,2021年,有,商品房,普通住宅,平层,板楼,洪山,9789元/平米,无,无,85.0
3室2厅2卫,127平米,南北,高层,毛坯,2021年,有,商品房,普通住宅,平层,板楼,汉阳,11654元/平米,4号线,173米,148.0
4室2厅2卫,160平米,南北,中层,简装修,2021年,有,商品房,普通住宅,平层,板楼,江汉,16875元/平米,6号线,498米,270.0
3室2厅2卫,112.77平米,南,高层,简装修,2006年,有,商品房,普通住宅,平层,板楼,东湖高新区,15075元/平米,无,无,170.0
4室2厅2卫,138.24平米,南北,低层,精装修,2019年,有,商品房,普通住宅,平层,板楼,东湖高新区,13744元/平米,11号线,954米,190.0
3室2厅2卫,34平米,南,底层,毛坯,2022年,无,商品房,普通住宅,平层,板楼,东湖高新区,8235元/平米,19号线,769米,28.0
4室2厅2卫,126.39平米,南北,中层,毛坯,2021年,有,商品房,普通住宅,平层,板楼,东湖高新区,18593元/平米,无,无,235.0
4室2厅2卫,142.18平米,南北,中层,精装修,2020年,有,商品房,普通住宅,平层,板楼,硚口,20720元/平米,1号线,608米,294.6
4室2厅2卫,183平米,南北,底层,毛坯,2024年,有,个人产权,个人产权,平层,板楼,汉阳,22951元/平米,无,无,420.0
4室2厅2卫,138.91平米,南,底层,毛坯,2018年,有,个人产权,个人产权,平层,板楼,东湖高新区,13534元/平米,2号线,1199米,188.0
3室2厅2卫,108.09平米,南北,高层,精装修,2021年,有,商品房,普通住宅,平层,板楼,江夏,11102元/平米,7号线,716米,120.0
5室3厅3卫,229.71平米,,,中装修,2016年,,,独栋,,,东湖高新区,15237元/平米,无,无,350.0
3室2厅2卫,124.54平米,南北,中层,毛坯,2020年,有,商品房,普通住宅,平层,板楼,汉阳,15015元/平米,无,无,187.0
3室2厅2卫,110平米,南,低层,毛坯,2023年,有,个人产权,个人产权,平层,板楼,东湖高新区,13545元/平米,19号线,641米,149.0
3室2厅2卫,111平米,南北,中层,毛坯,2021年,有,个人产权,个人产权,平层,板楼,青山,15135元/平米,4号线,470米,168.0
4室2厅2卫,142.8平米,南北,低层,中装修,2006年,有,商品房,普通住宅,平层,板楼,东湖高新区,13305元/平米,无,无,190.0
3室2厅2卫,128.65平米,南北,低层,精装修,2018年,有,商品房,普通住宅,平层,板楼,东湖高新区,14069元/平米,11号线,556米,181.0
3室1厅1卫,89.33平米,南,高层,精装修,2018年,有,商品房,普通住宅,平层,板楼,洪山,11418元/平米,5号线,549米,102.0
3室2厅2卫,119平米,南北,低层,毛坯,2019年,有,商品房,普通住宅,平层,板楼,汉阳,11952元/平米,6号线,1097米,142.23
3室2厅2卫,111平米,南北,低层,精装修,2019年,有,个人产权,个人产权,平层,板楼,洪山,10360元/平米,8号线,343米,115.0
3室2厅1卫,108.72平米,南北,高层,精装修,2006年,有,商品房,普通住宅,平层,板楼,洪山,12233元/平米,5号线,499米,133.0
3室2厅2卫,101.78平米,南,中层,精装修,2019年,有,商品房,普通住宅,平层,板楼,洪山,5797元/平米,无,无,59.0
2室2厅2卫,37平米,南北,中层,毛坯,2019年,有,商品房,平层,平层,板楼,汉阳,11081元/平米,6号线,958米,41.0
3室2厅2卫,129.31平米,南,低层,精装修,2019年,有,商品房,普通住宅,平层,板楼,洪山,14307元/平米,5号线,309米,185.0
3室2厅1卫,165.06平米,西南,中层,豪华装修,2024年,有,个人产权,个人产权,平层,板楼,江岸,30171元/平米,1号线,61米,498.0
3室2厅1卫,138.18平米,南,中层,精装修,2013年,有,商品房,普通住宅,平层,板楼,东湖高新区,18020元/平米,无,无,249.0
2室2厅1卫,100.48平米,南北,高层,简装修,2004年,有,商品房,普通住宅,平层,板楼,东湖高新区,12938元/平米,11号线,675米,130.0
2室2厅1卫,89.41平米,南,高层,精装修,2014年,有,商品房,普通住宅,平层,板楼,洪山,9954元/平米,8号线,717米,89.0
3室2厅1卫,92.9平米,南,中层,精装修,2018年,有,商品房,普通住宅,平层,板楼,东湖高新区,19376元/平米,无,无,180.0
4室2厅1卫,241.93平米,南北,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,武昌,33894元/平米,4号线,639米,820.0
3室2厅1卫,108.86平米,南,低层,精装修,2006年,有,商品房,普通住宅,平层,板楼,东湖高新区,14514元/平米,11号线,556米,158.0
3室2厅1卫,104.18平米,南北,中层,毛坯,2021年,有,商品房,普通住宅,平层,板楼,武昌,12766元/平米,无,无,133.0
2室2厅2卫,162.11平米,南,高层,毛坯,2021年,有,商品房,普通住宅,平层,板楼,洪山,26217元/平米,无,无,425.0
3室2厅2卫,123平米,南北,低层,简装修,2021年,有,商品房,普通住宅,平层,板楼,汉阳,11967元/平米,4号线,1086米,147.2
4室2厅2卫,129.32平米,南北,高层,精装修,2021年,有,个人产权,个人产权,平层,板楼,东湖高新区,12759元/平米,无,无,165.0
4室2厅1卫,258.81平米,南北,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,武昌,27047元/平米,4号线,830米,700.0
3室2厅1卫,123.84平米,东南,高层,精装修,2006年,有,商品房,普通住宅,平层,板楼,汉阳,14454元/平米,3号线,776米,179.0
5室2厅3卫,229.79平米,南北,中层,精装修,2023年,有,个人产权,个人产权,平层,板楼,江汉,28004元/平米,2号线,364米,643.5
3室2厅2卫,125.39平米,南北,中层,精装修,2022年,有,商品房,普通住宅,平层,板楼,武昌,21533元/平米,无,无,270.0
2室2厅2卫,47平米,南,中层,毛坯,2022年,有,商品房,普通住宅,平层,板楼,汉阳,8511元/平米,4号线,76米,40.0
3室2厅2卫,109.94平米,南,中层,精装修,2016年,有,商品房,普通住宅,平层,板楼,洪山,18101元/平米,2号线,403米,199.0
5室2厅2卫,237.06平米,东南,高层,毛坯,2006年,有,商品房,普通住宅,平层,板楼,洪山,10968元/平米,8号线,1195米,260.0
5室2厅3卫,306平米,南北,中层,豪华装修,2023年,有,个人产权,个人产权,平层,板楼,武昌,29412元/平米,4号线,616米,900.0
3室2厅1卫,135.94平米,南北,中层,毛坯,2010年,有,商品房,普通住宅,平层,板楼,洪山,10887元/平米,4号线,666米,148.0
4室2厅2卫,124平米,南北,高层,毛坯,2024年,有,商品房,普通住宅,平层,板楼,江夏,7661元/平米,无,无,95.0
4室2厅2卫,236.57平米,南,高层,精装修,2020年,有,个人产权,个人产权,平层,板楼,洪山,22319元/平米,无,无,528.0
3室2厅2卫,114.73平米,东南,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,洪山,15428元/平米,无,无,177.0
4室2厅2卫,143.2平米,南北,低层,精装修,,有,商品房,普通住宅,平层,板楼,硚口,21962元/平米,1号线,608米,314.5
4室2厅2卫,143平米,南北,低层,简装修,2024年,有,商品房,普通住宅,平层,板楼,硚口,31483元/平米,2号线,609米,450.2
3室2厅1卫,104.98平米,南北,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,洪山,10954元/平米,5号线,640米,115.0
4室2厅3卫,228.64平米,南北,高层,豪华装修,2023年,有,个人产权,个人产权,平层,板楼,武昌,34552元/平米,5号线,450米,790.0
3室2厅2卫,94.38平米,南北,中层,精装修,2021年,有,商品房,普通住宅,平层,板楼,汉阳,11655元/平米,无,无,110.0
3室2厅2卫,115平米,南北,低层,精装修,2019年,有,个人产权,个人产权,平层,板楼,江夏,8435元/平米,无,无,97.0
2室2厅1卫,88.87平米,南,高层,精装修,2006年,有,商品房,普通住宅,平层,板楼,东湖高新区,13503元/平米,11号线,211米,120.0
3室2厅2卫,119.06平米,南,底层,毛坯,2019年,有,个人产权,个人产权,平层,板楼,东湖高新区,10079元/平米,无,无,120.0
4室2厅3卫,210平米,南,中层,精装修,2022年,有,个人产权,个人产权,平层,板楼,江岸,38095元/平米,1号线,366米,800.0
4室2厅1卫,142.62平米,南北,中层,精装修,2021年,有,商品房,普通住宅,平层,板楼,东湖高新区,19633元/平米,无,无,280.0
2室2厅1卫,71平米,南,低层,精装修,2006年,有,商品房,普通住宅,平层,板楼,汉阳,11972元/平米,3号线,776米,85.0
4室2厅2卫,322.69平米,南北,低层,毛坯,2023年,有,商品房,普通住宅,平层,板楼,江汉,24172元/平米,2号线,881米,780.0
3室2厅1卫,91.11平米,南,中层,精装修,2015年,有,商品房,普通住宅,平层,板楼,洪山,10207元/平米,5号线,598米,93.0
4室2厅3卫,173平米,南,中层,毛坯,2023年,有,个人产权,个人产权,平层,板楼,硚口,28902元/平米,2号线,609米,500.0
4室2厅2卫,133.53平米,南北,高层,精装修,2021年,有,商品房,普通住宅,平层,板楼,东湖高新区,11608元/平米,无,无,155.0
3室2厅2卫,110.35平米,南,中层,毛坯,2021年,有,商品房,普通住宅,平层,板楼,东湖高新区,16855元/平米,无,无,186.0
2室2厅1卫,89.41平米,南,高层,精装修,2014年,有,商品房,普通住宅,平层,板楼,洪山,9954元/平米,8号线,717米,89.0
4室2厅2卫,131.91平米,南北,高层,毛坯,2006年,有,商品房,普通住宅,平层,板楼,东湖高新区,10462元/平米,11号线,932米,138.0
3室2厅1卫,89平米,南,中层,毛坯,2021年,有,商品房,普通住宅,平层,板楼,江夏,8989元/平米,无,无,80.0
3室2厅2卫,108.26平米,南北,中层,毛坯,2019年,有,个人产权,个人产权,平层,板楼,东湖高新区,12008元/平米,无,无,130.0
3室2厅1卫,125.01平米,南,高层,精装修,2006年,有,商品房,普通住宅,平层,板楼,洪山,10399元/平米,7号线,991米,130.0
2室2厅1卫,90.98平米,南,底层,简装修,2006年,有,商品房,普通住宅,平层,板楼,洪山,8024元/平米,4号线,1018米,73.0
2室2厅1卫,99.86平米,南北,高层,中装修,2006年,有,商品房,普通住宅,平层,板楼,东湖高新区,19027元/平米,2号线,123米,190.0
3室2厅2卫,97平米,南,中层,毛坯,2020年,有,个人产权,个人产权,平层,板楼,硚口,11237元/平米,1号线,111米,109.0
5室3厅3卫,178平米,南北,底层,毛坯,2022年,有,个人产权,个人产权,平层,板楼,东湖高新区,12360元/平米,19号线,978米,220.0
3室2厅2卫,55平米,南北,高层,毛坯,2018年,有,商品房,平层,平层,板楼,沌口,10909元/平米,3号线,379米,60.0
3室2厅2卫,122.08平米,南,高层,简装修,2018年,有,个人产权,个人产权,平层,板楼,东湖高新区,13516元/平米,无,无,165.0
3室1厅1卫,95.91平米,南北,高层,精装修,2006年,有,商品房,普通住宅,平层,板楼,洪山,11469元/平米,8号线,981米,110.0
3室2厅2卫,108.25平米,南北,低层,精装修,2022年,有,商品房,普通住宅,平层,板楼,汉阳,18430元/平米,1号线,710米,199.5
3室2厅2卫,129平米,南北,低层,精装修,,有,商品房,普通住宅,平层,板楼,汉阳,13217元/平米,6号线,866米,170.5
3室2厅2卫,130平米,东北,中层,简装修,2022年,有,商品房,普通住宅,平层,板楼,武昌,20000元/平米,8号线,607米,260.0
5室2厅1卫,331.29平米,南北,中层,精装修,2018年,有,商品房,普通住宅,平层,板楼,东湖高新区,18715元/平米,无,无,620.0
3室1厅2卫,95平米,南,中层,精装修,2022年,有,个人产权,个人产权,平层,板楼,东湖高新区,13684元/平米,2号线,1054米,130.0
3室2厅2卫,120平米,南北,低层,精装修,2018年,有,商品房,普通住宅,平层,板楼,沌口,14017元/平米,6号线,1091米,168.2
3室2厅2卫,140平米,南北,中层,精装修,2020年,有,个人产权,个人产权,平层,板楼,汉阳,12714元/平米,6号线,866米,178.0
2室2厅2卫,47.2平米,南北,高层,毛坯,2017年,无,商品房,普通住宅,平层,板楼,青山,7415元/平米,19号线,226米,35.0
3室2厅2卫,125平米,南,低层,毛坯,2026年,有,商品房,普通住宅,平层,板楼,汉阳,10800元/平米,无,无,135.0
3室2厅2卫,140.56平米,南北,中层,毛坯,2019年,有,个人产权,个人产权,平层,板楼,汉阳,10174元/平米,无,无,143.0
3室2厅3卫,180平米,南,中层,精装修,2023年,有,个人产权,个人产权,平层,板楼,江岸,35556元/平米,1号线,366米,640.0
2室1厅1卫,79.86平米,东南,低层,精装修,2015年,有,商品房,普通住宅,平层,板楼,洪山,16654元/平米,无,无,133.0
3室2厅2卫,106平米,南北,低层,毛坯,2021年,有,个人产权,个人产权,平层,板楼,汉阳,11887元/平米,4号线,173米,126.0
4室2厅2卫,129.19平米,东南,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,洪山,15481元/平米,4号线,775米,200.0
3室2厅2卫,116平米,南北,低层,精装修,,有,商品房,普通住宅,平层,板楼,沌口,10371元/平米,3号线,1102米,120.3
3室2厅1卫,141.79平米,东南,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,江岸,47958元/平米,1号线,506米,680.0
3室2厅1卫,87平米,南,中层,简装修,2022年,有,商品房,普通住宅,平层,板楼,汉阳,14483元/平米,6号线,153米,126.0
3室2厅1卫,107.35平米,东南,低层,精装修,2006年,有,商品房,普通住宅,平层,板楼,东湖高新区,12110元/平米,11号线,237米,130.0
4室2厅2卫,181平米,南北,中层,毛坯,2019年,有,个人产权,个人产权,平层,板楼,武昌,16575元/平米,5号线,233米,300.0
3室2厅2卫,132.48平米,北,低层,中装修,2014年,有,商品房,普通住宅,平层,板楼,洪山,7699元/平米,5号线,302米,102.0
